animal_name,status
Glauconycteris kenyacola,dd
Glauconycteris machadoi,dd
Glauconycteris poensis,lc
Glauconycteris superba,lc
Glauconycteris variegata,lc
Glironia venusta,lc
Glirulus japonicus,lc
Glis glis,lc
Glischropus javanus,dd
Glischropus tylopus,lc
Glischropus tylopus,lc
Globicephala macrorhynchus,lc
Globicephala melas,lc
Glossophaga commissarisi,lc
Glossophaga leachii,lc
Glossophaga longirostris,lc
Glossophaga morenoi,lc
Glossophaga soricina,lc
Glossotherium robustum,Remove
Glyphonycteris behnii,dd
Glyphonycteris daviesi,lc
Glyphonycteris sylvestris,lc
Glyphotes simus,dd
Glyptodon clavipes,Remove
Glyptodon reticulatus,Remove
Glyptotherium cylindricum,Remove
Glyptotherium floridanum,Remove
Golunda ellioti,lc
Gorilla beringei,cr
Gorilla gorilla,cr
Gracilinanus aceramarcae,lc
Gracilinanus agilis,lc
Gracilinanus dryas,lc
Gracilinanus emiliae,dd
Gracilinanus marica,lc
Gracilinanus microtarsus,lc
Grammomys aridulus,dd
Grammomys buntingi,dd
Grammomys caniceps,dd
Grammomys cometes,lc
Grammomys dolichurus,lc
Grammomys dryas,lc
Grammomys gigas,en
Grammomys ibeanus,lc
Grammomys kuru,lc
Grammomys macmillani,lc
Grammomys minnae,vu
Grammomys selousi,lc
Grampus griseus,lc
Graomys centralis,dd
Graomys domorum,lc
Graomys edithae,dd
Graomys griseoflavus,lc
Graphiurus angolensis,dd
Graphiurus christyi,lc
Graphiurus crassicaudatus,dd
Graphiurus johnstoni,dd
Graphiurus kelleni,dd
Graphiurus lorraineus,lc
Graphiurus microtis,lc
Graphiurus monardi,dd
Graphiurus murinus,lc
Graphiurus nagtglasii,lc
Graphiurus ocularis,lc
Graphiurus platyops,lc
Graphiurus rupicola,lc
Graphiurus surdus,dd
Gulo gulo,lc
Gymnobelideus leadbeateri,cr
Gymnuromys roberti,lc
Habromys chinanteco,cr
Habromys delicatulus,en
Habromys ixtlani,cr
Habromys lepturus,cr
Habromys lophurus,nt
Habromys schmidlyi,cr
Habromys simulatus,cr
Hadromys humei,en
Hadromys yunnanensis,dd
Hadropithecus stenognathus,Remove
Haeromys margarettae,dd
Haeromys minahassae,nt
Haeromys pusillus,vu
Halichoerus grypus,lc
Handleyomys alfaroi,lc
Handleyomys chapmani,vu
Handleyomys fuscatus,lc
Handleyomys intectus,lc
Handleyomys melanotis,lc
Handleyomys rhabdops,en
Handleyomys rostratus,lc
Handleyomys saturatior,lc
Hapalemur alaotrensis,cr
Hapalemur aureus,cr
Hapalemur griseus,cr
Hapalemur meridionalis,vu
Hapalemur occidentalis,vu
Hapalomys delacouri,nt
Hapalomys longicaudatus,en
Haploidoceros mediterraneus,Remove
Haplonycteris fischeri,lc
Harpiocephalus harpia,lc
Harpiola grisea,dd
Harpiola isodon,lc
Harpyionycteris celebensis,nt
Harpyionycteris whiteheadi,lc
Heimyscus fumosus,lc
Helarctos malayanus,vu
Heliophobius argenteocinereus,lc
Heliosciurus gambianus,lc
Heliosciurus mutabilis,lc
Heliosciurus punctatus,dd
Heliosciurus rufobrachium,lc
Heliosciurus ruwenzorii,lc
Heliosciurus undulatus,dd
Helogale hirtula,lc
Helogale parvula,lc
Hemiauchenia macrocephala,Remove
Hemiauchenia paradoxa,Remove
Hemibelideus lemuroides,nt
Hemicentetes nigriceps,lc
Hemicentetes semispinosus,lc
Hemiechinus auritus,lc
Hemiechinus collaris,lc
Hemigalus derbyanus,nt
Hemitragus cedrensis,Remove
Hemitragus jemlahicus,nt
Herpailurus yagouaroundi,lc
Herpestes auropunctatus,lc
Herpestes brachyurus,nt
Herpestes edwardsii,lc
Herpestes flavescens,lc
Herpestes fuscus,lc
Herpestes ichneumon,lc
Herpestes javanicus,lc
Herpestes naso,lc
Herpestes ochraceus,lc
Herpestes pulverulentus,lc
Herpestes sanguineus,lc
Herpestes semitorquatus,nt
Herpestes smithii,lc
Herpestes urva,lc
Herpestes vitticollis,lc
Hesperoptenus blanfordi,lc
Hesperoptenus doriae,dd
Hesperoptenus gaskelli,dd
Hesperoptenus tickelli,lc
Hesperoptenus tomesi,vu
Heterocephalus glaber,lc
Heterogeomys cherriei,lc
Heterogeomys dariensis,lc
Heterohyrax brucei,lc
Heteromys adspersus,lc
Heteromys anomalus,lc
Heteromys australis,lc
Heteromys desmarestianus,lc
Heteromys gaumeri,lc
Heteromys irroratus,lc
Heteromys nelsoni,en
Heteromys oasicus,en
