animal_name,status,order,adult_mass_g,neonate_mass_g,brain_mass_g,adult_body_length_mm,dphy_plant,dphy_vertebrate,dphy_invertebrate,trophic_level,det_diet_breadth_n,foraging_stratum,habitat_breadth_n,activity_cycle,fossoriality,hibernation_torpor,max_longevity_d,litter_size_n,litters_per_year_y,interbirth_interval_d,gestation_length_d,weaning_age_d,female_maturity_d,age_first_reproduction_d,generation_length_d,density_n_km2,altitude_breadth,dispersal_km
Abditomys latidens,dd,Rodentia,268.09,13.13186413,3.061856686,228.0,100.0,0.0,0.0,1,1,Ar,1,1,2,0,782.122,2.027551667,2.31851,88.44090654,37.72041603,32.30719178,162.7336991,198.3578421,732.3995033,1216.001777,1022.6424,0.513878211
Abeomelomys sevia,lc,Rodentia,57.89,30.0844009,1.49,158.645,78.0,3.0,19.0,2,3,G,2,1,2,0,1362.19825,1.0,1.896935,104.9821458,39.81755388,41.11827516,218.4942565,229.1775982,806.1505745,915.9178657,1700.0,0.221175907
Abrawayaomys ruschii,lc,Rodentia,62.99,4.569065,1.13587159,167.5576225,88.0,1.0,11.0,2,2,G,1,2,1,0,1009.888083,3.716735,3.18041,33.08521889,27.26619637,20.59987312,81.18734428,108.7572613,505.1959456,704.5296423,1279.9085,0.231688912
Abrocoma bennettii,lc,Rodentia,265.5,30.2563775,4.380448893,250.0,100.0,0.0,0.0,1,1,G,2,1,2,0,851.6666665,3.0,2.0,117.0026711,98.6752063,36.97536582,232.3830961,304.4415438,971.7492632,102.5,4000.0,0.511141748
Abrocoma boliviensis,cr,Rodentia,158.0,12.416356,3.203474243,199.92236,100.0,0.0,0.0,1,1,G,2,1,1,0,1071.506167,2.530401667,2.034215,106.8555034,100.1096343,32.42848428,233.456953,314.932437,845.7814665,1587.748688,470.0,0.38420876
Abrocoma budini,dd,Rodentia,221.82,12.755,3.358735591,201.0,100.0,0.0,0.0,1,1,G,2,1,2,0,395.4166665,1.995,1.86769,130.0094967,112.26904,40.19862486,277.6455245,350.4655309,1063.176163,1126.712667,0.0,0.46302693
Abrocoma cinerea,lc,Rodentia,221.82,12.755,3.247702369,201.0,100.0,0.0,0.0,1,1,G,2,1,2,0,395.4166665,1.995,1.95715,119.3187295,112.26904,35.86160743,232.3606443,315.5208626,1000.808501,817.9684705,1300.0,0.46302693
Abrocoma famatina,dd,Rodentia,221.82,12.755,3.280844269,201.0,100.0,0.0,0.0,1,1,G,2,1,2,0,395.4166665,1.995,1.896575,125.022093,112.26904,37.16597064,267.6684188,341.5954352,1026.875864,956.8352299,781.9093333,0.46302693
Abrocoma shistacea,lc,Rodentia,221.82,12.755,3.23695688,201.0,100.0,0.0,0.0,1,1,G,2,1,2,0,395.4166665,1.995,1.9426,117.3554242,112.26904,35.92197078,239.2473314,319.5364537,995.6460903,800.5529303,1800.0,0.46302693
Abrocoma uspallata,dd,Rodentia,164.2793,12.363315,3.107973444,198.60369,100.0,0.0,0.0,1,1,G,3,1,1,0,1404.936404,2.438208333,2.00516,108.6539258,99.76941031,32.22891257,243.0444945,322.1875635,846.1646919,1668.639438,300.0,0.392533231
Abrocoma vaccarum,dd,Rodentia,221.82,12.755,3.455094074,201.0,100.0,0.0,0.0,1,1,G,1,1,2,0,395.4166665,1.995,1.846355,133.9938677,112.26904,40.98077442,282.5255953,360.7419435,1079.48044,998.6729653,0.0,0.46302693
Abrothrix andinus,lc,Rodentia,34.65,2.93201,0.789513433,140.0,70.0,0.0,30.0,2,2,G,2,2,1,0,741.3712708,4.127835,3.330605,24.77589524,23.73658331,20.29272704,62.92116692,93.2437041,372.9296494,920.4037874,1810.759,0.166779492
Abrothrix illutea,lc,Rodentia,47.79,3.190271667,0.845618303,140.0,44.0,1.0,55.0,2,2,G,1,2,1,0,739.1386875,3.989255,3.296155,25.20617053,23.99277714,19.90117152,65.1567054,93.74640172,391.8323675,977.3234313,1800.0,0.199040398
Abrothrix jelskii,lc,Rodentia,34.5,2.829805,0.778912145,140.0,70.0,0.0,30.0,2,2,G,4,2,1,0,722.6650208,4.335825,3.616415,24.53655918,23.62307435,19.2899227,55.9735907,91.1477209,344.9921838,1096.886276,2800.0,0.16638201
