animal_name,status
Leopardus guigna,vu
Leopardus guttulus,vu
Leopardus jacobita,en
Leopardus pardalis,lc
Leopardus tigrinus,vu
Leopardus wiedii,nt
Leopoldamys ciliatus,lc
Leopoldamys diwangkarai,dd
Leopoldamys edwardsi,lc
Leopoldamys milleti,lc
Leopoldamys neilli,lc
Leopoldamys sabanus,lc
Leopoldamys siporanus,vu
Lepilemur aeeclis,en
Lepilemur ahmansonorum,cr
Lepilemur ankaranensis,en
Lepilemur betsileo,en
Lepilemur dorsalis,en
Lepilemur edwardsi,en
Lepilemur fleuretae,en
Lepilemur grewcockorum,cr
Lepilemur hollandorum,cr
Lepilemur hubbardorum,en
Lepilemur jamesorum,cr
Lepilemur leucopus,en
Lepilemur microdon,en
Lepilemur milanoii,en
Lepilemur mittermeieri,en
Lepilemur mustelinus,vu
Lepilemur otto,en
Lepilemur petteri,en
Lepilemur randrianasoloi,en
Lepilemur ruficaudatus,cr
Lepilemur sahamalazensis,cr
Lepilemur scottorum,en
Lepilemur seali,vu
Lepilemur septentrionalis,cd
Lepilemur tymerlachsoni,cr
Lepilemur wrightae,en
Leporillus apicalis,ex
Leporillus conditor,nt
Leptailurus serval,lc
Leptomys elegans,lc
Leptomys ernstmayri,lc
Leptomys signatus,lc
Leptonychotes weddellii,lc
Leptonycteris curasoae,vu
Leptonycteris nivalis,en
Leptonycteris yerbabuenae,nt
Lepus alleni,lc
Lepus americanus,lc
Lepus arcticus,lc
Lepus brachyurus,lc
Lepus californicus,lc
Lepus callotis,vu
Lepus capensis,lc
Lepus castroviejoi,vu
Lepus comus,lc
Lepus coreanus,lc
Lepus corsicanus,vu
Lepus europaeus,lc
Lepus fagani,lc
Lepus flavigularis,en
Lepus granatensis,lc
Lepus habessinicus,lc
Lepus hainanus,en
Lepus insularis,vu
Lepus mandshuricus,lc
Lepus nigricollis,lc
Lepus oiostolus,lc
Lepus othus,lc
Lepus peguensis,lc
Lepus saxatilis,lc
Lepus sinensis,lc
Lepus starcki,lc
Lepus tibetanus,lc
Lepus timidus,lc
Lepus tolai,lc
Lepus townsendii,lc
Lepus victoriae,lc
Lepus yarkandensis,nt
Lestodelphys halli,lc
Lestodon armatus,Remove
Lestoros inca,lc
Liberiictis kuhni,vu
Lichonycteris obscura,lc
Lichonycteris obscura,lc
Limnogale mergulus,vu
Limnomys bryophilus,lc
Limnomys sibuanus,lc
Lionycteris spurrelli,lc
Lipotes vexillifer,cr
Lissodelphis borealis,lc
Lissodelphis peronii,lc
Lissonycteris angolensis,lc
Litocranius walleri,nt
Lobodon carcinophaga,lc
Lonchophylla bokermanni,en
Lonchophylla bokermanni,en
Lonchophylla chocoana,dd
Lonchophylla concava,lc
Lonchophylla dekeyseri,en
Lonchophylla handleyi,lc
Lonchophylla hesperia,nt
Lonchophylla mordax,nt
Lonchophylla orcesi,dd
Lonchophylla robusta,lc
Lonchophylla thomasi,lc
Lonchorhina aurita,lc
Lonchorhina fernandezi,en
Lonchorhina inusitata,dd
Lonchorhina marinkellei,vu
Lonchorhina orinocensis,vu
Lonchothrix emiliae,lc
Lontra canadensis,lc
Lontra felina,Remove
Lontra longicaudis,nt
Lontra provocax,en
Lophiomys imhausi,lc
Lophocebus albigena,vu
Lophocebus aterrimus,vu
Lophostoma brasiliense,lc
Lophostoma carrikeri,lc
Lophostoma evotis,lc
Lophostoma kalkoae,dd
Lophostoma occidentalis,nt
Lophostoma schulzi,lc
Lophostoma silvicolum,lc
Lophuromys brevicaudus,nt
Lophuromys chrysopus,lc
Lophuromys cinereus,dd
Lophuromys dieterleni,en
Lophuromys eisentrauti,cr
Lophuromys flavopunctatus,lc
Lophuromys flavopunctatus,lc
Lophuromys flavopunctatus,lc
Lophuromys flavopunctatus,lc
Lophuromys flavopunctatus,lc
Lophuromys flavopunctatus,lc
Lophuromys flavopunctatus,lc
Lophuromys flavopunctatus,lc
Lophuromys flavopunctatus,lc
Lophuromys flavopunctatus,lc
Lophuromys huttereri,lc
Lophuromys luteogaster,lc
Lophuromys medicaudatus,vu
Lophuromys melanonyx,vu
Lophuromys nudicaudus,lc
Lophuromys rahmi,nt
Lophuromys roseveari,lc
Lophuromys sikapusi,lc
Lophuromys woosnami,lc
Lorentzimys nouhuysi,lc
Loris lydekkerianus,nt
Loris tardigradus,nt
Loxodonta africana,cr
Loxodontomys micropus,lc
Loxodontomys pikumche,lc
Lundomys molitor,lc
Lutra lutra,ld
Lutra sumatrana,en
Lutreolina crassicaudata,lc
Lutreolina massoia,lc
Lutrogale perspicillata,vu
Lycalopex culpaeus,lc
Lycalopex fulvipes,en
Lycalopex griseus,lc
Lycalopex gymnocercus,lc
Lycalopex sechurae,nt
Lycalopex vetulus,nt
Lycaon pictus,en
Lyncodon patagonicus,lc
Lynx canadensis,lc
Lynx lynx,lc
Lynx pardinus,en
Lynx rufus,lc
Macaca arctoides,vu
Macaca assamensis,nt
Macaca cyclopis,lc
Macaca fascicularis,en
Macaca fuscata,lc
Macaca hecki,vu
Macaca leonina,en
Macaca maura,en
Macaca mulatta,lc
Macaca munzala,en
Macaca nemestrina,en
Macaca nigra,cr
